"idx","wojewodztwo"
"915","mazowieckie"
"916","mazowieckie"
"917","mazowieckie"
"918","małopolskie"
"919","małopolskie"
"920","małopolskie"
"921","małopolskie"
"922","łódzkie"
"923","łódzkie"
"924","łódzkie"
"925","łódzkie"
"926","małopolskie"
"927","małopolskie"
"928","małopolskie"
"929","mazowieckie"
"930","mazowieckie"
"931","małopolskie"
"932","małopolskie"
"933","małopolskie"
"934","małopolskie"
"935","świętokrzyskie"
"936","wielkopolskie"
"937","wielkopolskie"
"938","małopolskie"
"939","małopolskie"
"940","małopolskie"
"941","mazowieckie"
"942","mazowieckie"
"943","małopolskie"
"944","małopolskie"
"945","małopolskie"
"946","małopolskie"
"947","małopolskie"
"948","małopolskie"
"949","łódzkie"
"950","łódzkie"
"951","łódzkie"
"952","małopolskie"
"953","małopolskie"
"954","małopolskie"
"955","mazowieckie"
"956","mazowieckie"
"957","mazowieckie"
"958","małopolskie"
"959","małopolskie"
"960","małopolskie"
"961","śląskie"
"962","śląskie"
"963","świętokrzyskie"
"964","małopolskie"
"965","śląskie"
"966","śląskie"
"967","mazowieckie"
"968","mazowieckie"
"969","mazowieckie"
"970","małopolskie"
"971","małopolskie"
"972","małopolskie"
"973","małopolskie"
"974","małopolskie"
"975","wielkopolskie"
"976","wielkopolskie"
"977","łódzkie"
"978","śląskie"
"979","śląskie"
"980","mazowieckie"
"981","mazowieckie"
"982","mazowieckie"
"983","mazowieckie"
"984","małopolskie"
"985","małopolskie"
"986","małopolskie"
"987","łódzkie"
"988","łódzkie"
"989","łódzkie"
"990","łódzkie"
"991","śląskie"
"992","śląskie"
"993","śląskie"
"994","śląskie"
"995","mazowieckie"
"996","mazowieckie"
"997","mazowieckie"
"998","podkarpackie"
"999","podkarpackie"
"1000","podkarpackie"
"1001","świętokrzyskie"
"1002","świętokrzyskie"
"1003","świętokrzyskie"
"1004","śląskie"
"1005","śląskie"
"1006","mazowieckie"
"1007","mazowieckie"
"1008","mazowieckie"
"1009","podkarpackie"
"1010","podkarpackie"
"1011","łódzkie"
"1012","łódzkie"
"1013","łódzkie"
"1014","śląskie"
"1015","śląskie"
"1016","mazowieckie"
"1017","mazowieckie"
"1018","mazowieckie"
"1019","mazowieckie"
"1020","mazowieckie"
"1021","podkarpackie"
"1022","podkarpackie"
"1023","podkarpackie"
"1024","małopolskie"
"1025","łódzkie"
"1026","łódzkie"
"1027","łódzkie"
"1028","świętokrzyskie"
"1029","świętokrzyskie"
"1030","lubelskie"
"1031","lubelskie"
"1032","lubelskie"
"1033","mazowieckie"
"1034","mazowieckie"
"1035","mazowieckie"
"1036","mazowieckie"
"1037","łódzkie"
"1038","łódzkie"
"1039","łódzkie"
"1040","łódzkie"
"1041","łódzkie"
"1042","lubelskie"
"1043","lubelskie"
"1044","lubelskie"
"1045","lubelskie"
"1046","lubelskie"
"1047","mazowieckie"
"1048","mazowieckie"
"1049","mazowieckie"
"1050","mazowieckie"
"1051","łódzkie"
"1052","łódzkie"
"1053","łódzkie"
"1054","łódzkie"
"1055","łódzkie"
"1056","lubelskie"
"1057","lubelskie"
"1058","lubelskie"
"1059","lubelskie"
"1060","lubelskie"
"1061","lubelskie"
"1062","lubelskie"
