"ID" "Osiagniecia.naukowe.i.tworcze" "Potencjal.naukowy" "Materialne.efekty.dzialalnosci.naukowej" "Pozostale.efekty.dzialalnosci.naukowej" "Ocena.ostateczna" "Kategoria" "nazwy"
"Uniwersytet Kazimierza Wielkiego w Bydgoszczy; Wydzial Matematyki. Fizyki i  Techniki" 948 60.79 90 1.36 80 -44.42 "B" "Uniwersytet Kazimierza Wielkiego w Bydgoszczy; Wydzial Matematyki. Fizyki i  Techniki"
"Uniwersytet Opolski; Wydzial Matematyki. Fizyki i Informatyki" 424 64.71 130 0.16 62.5 -46.44 "B" "Uniwersytet Opolski; Wydzial Matematyki. Fizyki i Informatyki"
"Politechnika Krakowska im. Tadeusza Kosciuszki; Wydzial Fizyki. Matematyki i  Informatyki" 685 45.05 65 0.38 40 -84.08 "C" "Politechnika Krakowska im. Tadeusza Kosciuszki; Wydzial Fizyki. Matematyki i  Informatyki"
"Politechnika Slaska; Wydzial Inzynierii Srodowiska i Energetyki" 338 46.82 517 11.46 83 84.86 "A" "Politechnika Slaska; Wydzial Inzynierii Srodowiska i Energetyki"
"Akademia Górniczo-Hutnicza im. Stanislawa Staszica w Krakowie; Wydzial  Energetyki i Paliw" 209 53.01 165 5.08 83.5 62.07 "A" "Akademia Górniczo-Hutnicza im. Stanislawa Staszica w Krakowie; Wydzial  Energetyki i Paliw"
"Politechnika Poznanska; Wydzial Maszyn Roboczych i Transportu" 509 39.38 397 10.45 74 59.82 "A" "Politechnika Poznanska; Wydzial Maszyn Roboczych i Transportu"
"Politechnika Warszawska; Wydzial Mechaniczny Energetyki i Lotnictwa" 81 31.93 465 14.42 81 38.57 "A" "Politechnika Warszawska; Wydzial Mechaniczny Energetyki i Lotnictwa"
"Akademia Górniczo-Hutnicza im. Stanislawa Staszica w Krakowie; Wydzial  Wiertnictwa. Nafty i Gazu" 742 35.7 213 14.22 67.5 38.04 "A" "Akademia Górniczo-Hutnicza im. Stanislawa Staszica w Krakowie; Wydzial  Wiertnictwa. Nafty i Gazu"
"Politechnika Wroclawska; Wydzial Geoinzynierii. Górnictwa i Geologii" 163 33.02 265 13.06 55 25.66 "B" "Politechnika Wroclawska; Wydzial Geoinzynierii. Górnictwa i Geologii"
"Akademia Morska w Gdyni; Wydzial Nawigacyjny" 789 33.57 169 11.97 46.5 16.7 "B" "Akademia Morska w Gdyni; Wydzial Nawigacyjny"
"Miedzynarodowa Wyzsza Szkola Logistyki i Transportu we Wroclawiu; Wydzial  Logistyki i Transportu" 847 35.66 44 6 58 13.19 "B" "Miedzynarodowa Wyzsza Szkola Logistyki i Transportu we Wroclawiu; Wydzial  Logistyki i Transportu"
